,NotaFiscal,DataEmissao,DataEmbarque,DataDespacho,Romaneio,TranspRedespacho,Tipo,Faixa,ValorNF,CustoTransporte
0,768989,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,1699.2,68.76354408602151
1,768991,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,1699.2,68.76354408602151
2,768992,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,1699.2,68.76354408602151
3,768993,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,1699.2,68.76354408602151
4,768960,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
5,768967,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
6,768969,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
7,768970,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
8,768976,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
9,768977,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
10,768978,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
11,768979,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
12,768980,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
13,768981,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
14,768982,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
15,768983,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
16,768984,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
17,768985,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
18,768986,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
19,768987,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,2124.0,69.27969892473119
20,768925,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
21,768926,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
22,768927,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
23,768928,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
24,768929,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
25,768930,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
26,768931,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
27,768932,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
28,768934,2017-09-01,2017-09-01,2017-09-01,1,1506,8,14,3398.4,70.82816344086022
29,772676,2017-09-01,2017-09-01,2017-09-01,1,1628,8,14,160.0,66.89333333333333
30,772675,2017-09-01,2017-09-01,2017-09-01,1,1628,8,14,272.58,67.03012408602152
31,772861,2017-09-01,2017-09-01,2017-09-01,1,183,8,14,3158.71,70.53692720430108
32,772620,2017-09-01,2017-09-01,2017-09-01,1,470,8,14,2032.88,69.16898322580646
33,772614,2017-09-01,2017-09-01,2017-09-01,1,213,8,14,1254.3,68.22296666666666
34,772594,2017-09-01,2017-09-01,2017-09-01,1,615,8,14,1253.81,68.22237129032258
35,772565,2017-09-01,2017-09-01,2017-09-01,1,957,8,14,1415.83,179.55901924731182
36,772623,2017-09-01,2017-09-01,2017-09-01,1,419,8,14,1801.95,180.0281758064516
37,772567,2017-09-01,2017-09-01,2017-09-01,1,957,8,14,1518.83,179.68416978494625
38,772572,2017-09-01,2017-09-01,2017-09-01,1,164,8,14,1246.0,179.35266666666666
39,772626,2017-09-01,2017-09-01,2017-09-01,1,932,8,14,1192.06,179.2871266666667
40,772601,2017-09-01,2017-09-01,2017-09-01,1,227,8,14,1372.53,179.50640741935484
41,772603,2017-09-01,2017-09-01,2017-09-01,1,1465,8,14,2208.83,180.52255688172045
42,772608,2017-09-01,2017-09-01,2017-09-01,1,307,8,14,1249.83,179.35732032258068
43,772606,2017-09-01,2017-09-01,2017-09-01,1,183,8,14,2237.19,180.5570158064516
44,772646,2017-09-01,2017-09-01,2017-09-01,1,1637,8,14,2155.55,180.45781881720436
45,772613,2017-09-01,2017-09-01,2017-09-01,1,1634,8,14,2288.34,180.61916580645163
46,772557,2017-09-01,2017-09-01,2017-09-01,1,808,8,14,1660.55,163.69722741935487
47,772607,2017-09-01,2017-09-01,2017-09-01,1,1152,8,14,1247.4,163.33608817204302
48,772612,2017-09-01,2017-09-01,2017-09-01,1,154,8,14,2707.48,167.08220688172042
49,772579,2017-09-01,2017-09-01,2017-09-01,1,129,8,14,1510.44,166.33204000000003
50,772561,2017-09-01,2017-09-01,2017-09-01,1,8,8,14,1524.65,166.63102634408605
51,772584,2017-09-01,2017-09-01,2017-09-01,1,129,8,14,2253.64,168.6436701075269
52,772634,2017-09-01,2017-09-01,2017-09-01,1,897,8,14,1452.6,169.50154623655914
53,772615,2017-09-01,2017-09-01,2017-09-01,1,82,8,14,2441.89,170.8444469892473
54,772605,2017-09-01,2017-09-01,2017-09-01,1,89,8,14,2814.38,172.42392408602154
55,772624,2017-09-01,2017-09-01,2017-09-01,1,891,8,14,3857.4,175.9450129032258
56,772633,2017-09-01,2017-09-01,2017-09-01,1,897,8,14,2490.34,175.41084322580647
57,772599,2017-09-01,2017-09-01,2017-09-01,1,686,8,14,3123.62,179.42009741935485
58,772574,2017-09-01,2017-09-01,2017-09-01,1,1306,8,14,3187.6,181.61073978494625
59,772582,2017-09-01,2017-09-01,2017-09-01,1,1306,8,14,2110.92,181.42939741935484
60,772616,2017-09-01,2017-09-01,2017-09-01,1,870,8,14,3027.91,183.9521917204301
61,772587,2017-09-01,2017-09-01,2017-09-01,1,164,8,14,3873.6,186.38835268817203
62,772644,2017-09-01,2017-09-01,2017-09-01,1,932,8,14,2601.78,185.265603655914
63,772568,2017-09-01,2017-09-01,2017-09-01,1,312,8,14,6436.15,190.0654295698925
64,772632,2017-09-01,2017-09-01,2017-09-01,1,897,8,14,2728.49,187.6733265591398
65,771994,2017-09-01,2017-09-01,2017-09-01,1,745,8,14,2144.0,188.0900215053764
66,772617,2017-09-01,2017-09-01,2017-09-01,1,234,8,14,4023.4,195.0219806451613
67,772580,2017-09-01,2017-09-01,2017-09-01,1,129,8,14,6811.28,200.66316817204304
68,772602,2017-09-01,2017-09-01,2017-09-01,1,728,8,14,7217.67,204.67845924731185
69,772571,2017-09-01,2017-09-01,2017-09-01,1,312,8,14,10836.37,212.1742990322581
70,772583,2017-09-01,2017-09-01,2017-09-01,1,1306,8,14,8476.13,215.36346978494623
71,772576,2017-09-01,2017-09-01,2017-09-01,1,1485,8,14,13507.26,228.5195739784946
72,772647,2017-09-01,2017-09-01,2017-09-01,1,178,8,14,7491.86,222.6191417204301
73,772581,2017-09-01,2017-09-01,2017-09-01,1,1303,8,14,7926.18,225.96406817204303
74,772199,2017-09-01,2017-09-01,2017-09-01,1,745,8,14,3859.2,221.72676989247316
