,Romaneio,QtdPedidos,PesoPedidos,DataDespacho,Tipo,Faixa,CustoTransporte
0,1,4,24791,2017-09-01,2,3,3310.7333333333336
1,2,8,24086,2017-09-01,2,3,3276.8301075268814
2,3,28,21604,2017-09-01,6,12,2208.53011827957
3,4,10,24679,2017-09-02,3,4,8762.867741935486
4,5,8,24078,2017-09-06,2,3,16081.012903225845
5,6,8,12660,2017-09-06,1,2,2665.3763440860216
6,7,100,22534,2017-09-06,2,3,6669.9720430107645
7,8,18,21999,2017-09-11,8,14,29612.87731537635
8,9,2,13945,2017-09-12,7,13,9390.409953118282
9,10,12,30104,2017-09-12,4,6,5922.572043010752
10,11,66,24405,2017-09-12,3,4,6186.143010752683
11,12,8,22051,2017-09-13,8,14,14037.435399354841
12,13,44,21794,2017-09-13,8,14,10024.428681612902
13,14,5,22722,2017-09-14,8,14,16526.346813440865
14,15,8,12755,2017-09-14,1,2,2683.763440860215
15,16,6,28976,2017-09-15,4,6,12308.392473118281
16,17,6,12668,2017-09-15,1,1,1804.1806451612906
17,18,14,12725,2017-09-16,5,9,9077.899896774194
18,19,2,12940,2017-09-18,1,2,4542.645161290323
19,20,4,13131,2017-09-18,5,7,2745.166696774194
20,21,8,23283,2017-09-19,8,14,17562.926261935485
21,22,7,13855,2017-09-19,1,2,2869.7849462365593
22,23,6,22593,2017-09-20,6,12,3844.5747526881732
23,24,70,31109,2017-09-20,4,6,8055.16021505376
24,25,9,21664,2017-09-21,6,11,9865.715139784947
25,26,54,25069,2017-09-21,3,4,6384.174193548386
26,27,12,23795,2017-09-22,8,14,11968.118528279569
27,28,12,12961,2017-09-22,1,2,2831.1612903225805
28,29,45,23357,2017-09-22,8,14,9569.403532688173
29,30,8,13357,2017-09-22,7,13,3282.156517849463
30,31,28,12781,2017-09-22,5,9,4730.912460215052
31,32,12,22213,2017-09-23,8,14,10364.552149677422
32,33,4,25726,2017-09-25,3,4,9397.239784946236
33,34,6,13570,2017-09-25,5,7,2844.8456000000006
34,35,7,23079,2017-09-26,6,11,7105.679322580644
35,36,4,30246,2017-09-28,4,6,19570.26236559143
36,37,7,22793,2017-09-28,8,14,4626.021470430107
37,38,7,21722,2017-09-29,8,14,13673.072590322585
38,39,6,24963,2017-09-30,2,3,5675.163440860214
39,40,9,24749,2017-09-30,3,4,4845.781720430108
40,41,14,22682,2017-10-02,8,14,12521.925600752686
41,42,37,24380,2017-10-02,3,4,5529.827956989249
42,43,70,22869,2017-10-02,2,3,5593.159139784946
43,44,46,12936,2017-10-02,1,2,3939.7204301075267
44,45,53,31631,2017-10-03,4,6,7780.311827956985
45,46,14,22053,2017-10-03,6,11,5307.51799139785
46,47,81,21930,2017-10-03,8,14,14950.84891419355
47,48,15,24523,2017-10-04,3,4,6575.475268817204
48,49,69,22060,2017-10-04,8,14,13173.800982473122
49,50,29,29206,2017-10-04,4,6,6212.513978494624
50,51,8,25176,2017-10-05,3,4,7605.517204301075
51,52,59,21714,2017-10-05,6,12,3648.03277419355
52,53,6,31187,2017-10-06,4,6,8150.915053763442
53,54,14,22401,2017-10-06,6,11,5387.188756989248
54,55,15,12803,2017-10-06,5,8,3278.834415053763
55,56,8,22210,2017-10-07,8,14,18703.217330215062
56,57,16,29813,2017-10-10,4,6,17165.723655913982
57,58,36,22677,2017-10-10,2,3,3428.320430107526
58,59,7,25140,2017-10-11,3,4,7171.2043010752695
59,60,34,29017,2017-10-11,4,6,6311.764516129033
60,61,4,29690,2017-10-13,4,6,8770.170967741935
61,62,8,13769,2017-10-13,7,13,3428.6637296774197
62,63,21,28956,2017-10-14,4,6,10779.869892473118
63,64,13,22977,2017-10-16,2,3,7132.5161290322585
64,65,25,12788,2017-10-16,1,2,3147.1397849462364
65,66,9,25291,2017-10-17,3,4,10445.213978494621
66,67,20,21765,2017-10-17,6,11,5451.196793548387
67,68,43,12703,2017-10-17,1,2,3361.849462365591
68,69,2,13556,2017-10-18,7,13,9134.75793064516
69,70,4,13957,2017-10-18,7,13,2708.9177826881723
70,71,15,21903,2017-10-18,8,14,5699.268990752688
71,72,67,21626,2017-10-18,8,14,13352.84620451613
72,73,5,23705,2017-10-19,8,14,6724.778007741937
73,74,10,22043,2017-10-19,6,11,5113.692574193549
74,75,24,22087,2017-10-19,8,14,7050.387946774195
75,76,3,13464,2017-10-20,1,2,6894.129032258062
76,77,6,13832,2017-10-20,1,1,1961.883870967742
77,78,24,21803,2017-10-20,8,14,7047.5767694623655
78,79,38,12638,2017-10-20,7,13,7611.13582967742
79,80,18,29540,2017-10-23,4,6,11749.994623655915
80,81,25,21826,2017-10-23,8,14,7179.271146451614
81,82,4,29530,2017-10-24,4,6,14770.626881720455
82,83,10,22638,2017-10-24,8,14,5110.239157419355
83,84,20,23192,2017-10-24,2,3,3335.2946236559137
84,85,6,23366,2017-10-25,6,12,3780.667946236559
85,86,36,22534,2017-10-25,2,3,3765.002150537635
86,87,3,13674,2017-10-26,1,2,3082.064516129032
87,88,4,12906,2017-10-26,5,7,2790.092507526882
88,89,69,25957,2017-10-26,3,4,6975.015053763437
89,90,3,13809,2017-10-27,1,2,4088.301075268817
90,91,8,22994,2017-10-27,6,11,5282.823858064516
91,92,10,26342,2017-10-28,3,4,9294.13440860215
92,93,42,24352,2017-10-28,3,4,5670.852688172042
93,94,24,13259,2017-10-28,5,9,4857.830597849464
