NotaFiscal	DataEmissao	Peso	ValorNFs	TranspRedespacho
772552	01/09/2017	3038	55345.86	110
772553	01/09/2017	4078	61153.34	110
772633	01/09/2017	188	2490.34	897
772634	01/09/2017	155	1452.6	897
772632	01/09/2017	273	2728.49	897
772551	01/09/2017	3583	60318.45	1305
772554	01/09/2017	581	10550.62	1305
772550	01/09/2017	12472	84414.2	1638
771994	01/09/2017	281	2144	745
771995	01/09/2017	622	10326.52	745
771996	01/09/2017	806	5416.8	745
772199	01/09/2017	505	3859.2	745
772561	01/09/2017	134	1524.65	8
772560	01/09/2017	923	15379.1	8
772555	01/09/2017	4071	63460.75	8
772564	01/09/2017	2393	21243.3	21
772563	01/09/2017	2409	41296.19	710
772635	01/09/2017	2140	36578.03	808
772556	01/09/2017	731	10967.76	808
772557	01/09/2017	112	1660.55	808
772559	01/09/2017	2790	49254.58	932
772562	01/09/2017	627	9301.41	932
772549	01/09/2017	3361	23562.92	1638
772547	01/09/2017	4880	36616.69	1638
772548	01/09/2017	1431	11700.52	1638
768925	01/09/2017	18	3398.4	1506
768926	01/09/2017	18	3398.4	1506
768927	01/09/2017	18	3398.4	1506
768928	01/09/2017	18	3398.4	1506
768929	01/09/2017	18	3398.4	1506
768930	01/09/2017	18	3398.4	1506
768931	01/09/2017	18	3398.4	1506
768932	01/09/2017	18	3398.4	1506
768934	01/09/2017	18	3398.4	1506
768960	01/09/2017	11	2124	1506
768967	01/09/2017	11	2124	1506
768969	01/09/2017	11	2124	1506
768970	01/09/2017	11	2124	1506
768976	01/09/2017	11	2124	1506
768977	01/09/2017	11	2124	1506
768978	01/09/2017	11	2124	1506
768979	01/09/2017	11	2124	1506
768980	01/09/2017	11	2124	1506
768981	01/09/2017	11	2124	1506
768982	01/09/2017	11	2124	1506
768983	01/09/2017	11	2124	1506
768984	01/09/2017	11	2124	1506
768985	01/09/2017	11	2124	1506
768986	01/09/2017	11	2124	1506
768987	01/09/2017	11	2124	1506
768989	01/09/2017	9	1699.2	1506
768991	01/09/2017	9	1699.2	1506
768992	01/09/2017	9	1699.2	1506
768993	01/09/2017	9	1699.2	1506
772578	01/09/2017	605	9311.72	37
772579	01/09/2017	132	1510.44	129
772580	01/09/2017	330	6811.28	129
772584	01/09/2017	142	2253.64	129
772587	01/09/2017	254	3873.6	164
772572	01/09/2017	61	1246	164
772569	01/09/2017	1343	22746.73	282
772571	01/09/2017	377	10836.37	312
772568	01/09/2017	258	6436.15	312
772577	01/09/2017	746	7314.51	498
772591	01/09/2017	533	11874.04	676
772575	01/09/2017	851	13717.4	684
772581	01/09/2017	500	7926.18	1303
772574	01/09/2017	226	3187.6	1306
772582	01/09/2017	234	2110.92	1306
772583	01/09/2017	420	8476.13	1306
772570	01/09/2017	773	10101.74	1306
772589	01/09/2017	975	12773.68	1380
772576	01/09/2017	470	13507.26	1485
772592	01/09/2017	1419	25557.67	1558
772675	01/09/2017	29	272.58	1628
772615	01/09/2017	156	2441.89	82
772605	01/09/2017	164	2814.38	89
772612	01/09/2017	127	2707.48	154
772606	01/09/2017	85	2237.19	183
772861	01/09/2017	46	3158.71	183
772862	01/09/2017	3662	32745.13	183
772614	01/09/2017	50	1254.3	213
772601	01/09/2017	73	1372.53	227
772617	01/09/2017	314	4023.4	234
772608	01/09/2017	84	1249.83	307
772623	01/09/2017	57	1801.95	419
772620	01/09/2017	49	2032.88	470
772599	01/09/2017	211	3123.62	686
772602	01/09/2017	355	7217.67	728
772616	01/09/2017	244	3027.91	870
772624	01/09/2017	180	3857.4	891
772626	01/09/2017	65	1192.06	932
772607	01/09/2017	113	1247.4	1152
772590	01/09/2017	1399	10433.4	1237
772603	01/09/2017	74	2208.83	1465
772613	01/09/2017	90	2288.34	1634
772676	01/09/2017	20	160	1628
772876	02/09/2017	350	8467.35	129
772881	02/09/2017	1082	14835.48	129
772882	02/09/2017	45	1236.76	129
772877	02/09/2017	1974	38828.24	529
772971	02/09/2017	11466	197917.73	708
772972	02/09/2017	3537	68652.4	708
772973	02/09/2017	93	5593.16	708
772974	02/09/2017	52	1847.98	708
772871	02/09/2017	1611	15410.52	729
772888	02/09/2017	483	7921.17	767
772879	02/09/2017	900	17862.65	767
772872	02/09/2017	1157	18621.58	1492
772658	02/09/2017	1589	28059.46	1506
772659	02/09/2017	3	424.17	1506
772660	02/09/2017	6	159.83	1506
772661	02/09/2017	3	99.57	1506
772621	02/09/2017	339	9728.51	7
772950	02/09/2017	28	269.12	36
772883	02/09/2017	644	12212.01	137
772600	02/09/2017	139	4126.53	154
772604	02/09/2017	401	6826.73	168
772622	02/09/2017	171	5708.49	227
772880	02/09/2017	693	10511.03	305
772610	02/09/2017	385	8020.33	453
772960	02/09/2017	81	1511.11	478
772625	02/09/2017	368	8419.83	673
772611	02/09/2017	184	5020.16	1139
772618	02/09/2017	370	6442.92	1148
772619	02/09/2017	116	3748.21	1152
772886	02/09/2017	670	19462.2	1237
772870	02/09/2017	622	11441.01	1262
772955	02/09/2017	147	1454.78	1354
772929	02/09/2017	122	3412.29	1381
772609	02/09/2017	381	10092.28	1385
772918	02/09/2017	371	6798.53	1510
772941	02/09/2017	118	2724.94	1536
772949	02/09/2017	255	6014.99	1620
772961	02/09/2017	222	2108.61	305
772671	04/09/2017	198	848.69	1628
772647	01/09/2017	480	7491.86	178
772598	01/09/2017	708	15032.04	419
772648	01/09/2017	748	12130.73	615
772594	01/09/2017	50	1253.81	615
772644	01/09/2017	257	2601.78	932
772565	01/09/2017	53	1415.83	957
772645	01/09/2017	2032	33225.67	957
772567	01/09/2017	59	1518.83	957
772646	01/09/2017	86	2155.55	1637
773369	04/09/2017	332	5193.07	337
773535	04/09/2017	730	11433.06	897
773536	04/09/2017	535	5784.34	1237
773386	04/09/2017	187	3765.79	1381
772999	04/09/2017	386	10556.39	1429
772855	04/09/2017	51	2162.82	1491
772866	04/09/2017	213	6226.46	148
773004	04/09/2017	29	1260.32	329
773005	04/09/2017	90	3004.63	615
773001	04/09/2017	590	10345.2	615
773002	04/09/2017	300	7856.71	615
773003	04/09/2017	1039	19029.98	615
773000	04/09/2017	78	5446.75	1313
772948	04/09/2017	15	1105.23	8
772890	04/09/2017	42	1413.64	8
772928	04/09/2017	85	2329.94	8
772940	04/09/2017	49	2414.73	8
772896	04/09/2017	89	1229.08	21
772962	04/09/2017	27	1832.15	36
772875	04/09/2017	71	2254.24	40
772897	04/09/2017	136	1666.83	264
772885	04/09/2017	1034	19625.21	325
772947	04/09/2017	74	2385.88	328
772922	04/09/2017	173	5932.54	382
772894	04/09/2017	182	2596.06	397
772919	04/09/2017	95	2446.33	432
772998	04/09/2017	101	2972.02	432
772939	04/09/2017	31	1228.01	481
772946	04/09/2017	83	2141.39	487
772930	04/09/2017	48	1288.99	530
772932	04/09/2017	70	2948.42	530
772954	04/09/2017	45	1256.23	584
772959	04/09/2017	76	1645.47	593
772937	04/09/2017	77	1354.63	615
772944	04/09/2017	190	4635	615
772931	04/09/2017	38	1348.35	679
772943	04/09/2017	101	2720.99	710
772899	04/09/2017	87	3313.79	753
772920	04/09/2017	502	11592.72	808
772924	04/09/2017	92	2614.31	851
772927	04/09/2017	113	2416.55	891
772891	04/09/2017	131	1612.13	1192
772892	04/09/2017	260	6260.7	1192
772893	04/09/2017	57	2898.1	1210
772907	04/09/2017	73	2321.1	1210
